"","Well","Sample","Filter","Date","Water_level","Temperature","pH","DO_percentage","DO_mg","DIC","DOC","NO2","NO3","NH4","negative","c_total","NOx"
"P1-09-01-arc","P1"," 9","1","2022-03-07","7.17"," 5.45","7.69"," 92.00","11.62","3.5","0.4"," 0.0040","0.0309","0.00080","FALSE","3.9","0.0349"
"P1-09-02-arc","P1"," 9","2","2022-03-07","7.17"," 5.45","7.69"," 92.00","11.62","3.5","0.4"," 0.0040","0.0309","0.00080","FALSE","3.9","0.0349"
"P1-10-01-arc","P1","10","1","2022-03-21","7.70","13.88","7.14","113.70","11.75","3.4","0.3"," 0.0036","0.0303","0.00960","FALSE","3.7","0.0338"
"P1-10-02-arc","P1","10","2","2022-03-21","7.70","13.88","7.14","113.70","11.75","3.4","0.3"," 0.0036","0.0303","0.00960","FALSE","3.7","0.0338"
"P1-11-01-arc","P1","11","1","2022-04-05","6.95"," 7.67","6.97","102.30","12.21","3.4","0.5"," 0.0043","0.0332","0.00270","FALSE","3.9","0.0374"
"P1-11-02-arc","P1","11","2","2022-04-05","6.95"," 7.67","6.97","102.30","12.21","3.4","0.5"," 0.0043","0.0332","0.00270","FALSE","3.9","0.0374"
"P1-12-01-arc","P1","12","1","2022-04-20","6.63"," 8.92","7.25","109.10","12.64","3.1","0.7"," 0.0124","0.0306","0.00630","FALSE","3.8","0.0430"
"P1-12-02-arc","P1","12","2","2022-04-20","6.63"," 8.92","7.25","109.10","12.64","3.1","0.7"," 0.0124","0.0306","0.00630","FALSE","3.8","0.0430"
"P1-13-01-arc","P1","13","1","2022-05-05","6.39"," 9.01","7.05","110.20","12.74","2.8","0.6"," 0.0107","0.0288","0.09550","FALSE","3.4","0.0395"
"P1-13-02-arc","P1","13","2","2022-05-05","6.39"," 9.01","7.05","110.20","12.74","2.8","0.6"," 0.0107","0.0288","0.09550","FALSE","3.4","0.0395"
"P1-14-01-arc","P1","14","1","2022-05-30","6.29","25.38","8.48","  8.13","41.00","3.0","0.5"," 0.0109","0.0201","0.00420","FALSE","3.5","0.0310"
"P1-14-02-arc","P1","14","2","2022-05-30","6.29","25.38","8.48","  8.13","41.00","3.0","0.5"," 0.0109","0.0201","0.00420","FALSE","3.5","0.0310"
"P1-15-01-arc","P1","15","1","2022-06-14","6.36","11.60","6.75","107.20","11.66","1.6","0.7"," 0.0103","0.0285","0.00090","FALSE","2.3","0.0388"
"P1-15-02-arc","P1","15","2","2022-06-14","6.36","11.60","6.75","107.20","11.66","1.6","0.7"," 0.0103","0.0285","0.00090","FALSE","2.3","0.0388"
"P1-16-01-arc","P1","16","1","2022-06-28","6.44","13.25","6.26","154.00","16.13","1.9","0.7"," 0.0054","0.0418","0.02200","FALSE","2.6","0.0472"
"P1-16-02-arc","P1","16","2","2022-06-28","6.44","13.25","6.26","154.00","16.13","1.9","0.7"," 0.0054","0.0418","0.02200","FALSE","2.6","0.0472"
"P1-17-01-arc","P1","17","1","2022-07-15","6.50","21.37","6.17","480.70","42.56","3.5","0.5"," 0.0032","0.0394","0.02180","FALSE","4.0","0.0426"
"P1-17-02-arc","P1","17","2","2022-07-15","6.50","21.37","6.17","480.70","42.56","3.5","0.5"," 0.0032","0.0394","0.02180","FALSE","4.0","0.0426"
"P1-18-01-arc","P1","18","1","2022-07-28","6.59","20.74","5.84","102.40"," 9.18","3.6","0.5"," 0.0140","0.0374","0.02490","FALSE","4.1","0.0514"
"P1-18-02-arc","P1","18","2","2022-07-28","6.59","20.74","5.84","102.40"," 9.18","3.6","0.5"," 0.0140","0.0374","0.02490","FALSE","4.1","0.0514"
"P1-19-01-arc","P1","19","1","2022-08-08","6.57","13.08","5.69","124.10","13.06","3.6","0.4"," 0.0154","0.0366","0.01170","FALSE","4.0","0.0520"
"P1-19-02-arc","P1","19","2","2022-08-08","6.57","13.08","5.69","124.10","13.06","3.6","0.4"," 0.0154","0.0366","0.01170","FALSE","4.0","0.0520"
"P1-20-01-arc","P1","20","1","2022-08-23","6.60","15.73","5.79","138.80","13.78","3.8","0.4"," 0.0149","0.0414","0.00840","FALSE","4.2","0.0562"
"P1-20-02-arc","P1","20","2","2022-08-23","6.60","15.73","5.79","138.80","13.78","3.8","0.4"," 0.0149","0.0414","0.00840","FALSE","4.2","0.0562"
"P1-21-01-arc","P1","21","1","2022-09-07","6.67","14.67","5.85","103.10","10.48","3.9","0.4"," 0.0101","0.0407","0.00857","FALSE","4.3","0.0508"
"P1-21-02-arc","P1","21","2","2022-09-07","6.67","14.67","5.85","103.10","10.48","3.9","0.4"," 0.0101","0.0407","0.00857","FALSE","4.3","0.0508"
"P1-22-01-arc","P1","22","1","2022-09-22","6.72","13.56","6.67"," 94.00"," 9.78","3.9","0.4"," 0.0117","0.0378","0.01144","FALSE","4.3","0.0495"
"P1-22-02-arc","P1","22","2","2022-09-22","6.72","13.56","6.67"," 94.00"," 9.78","3.9","0.4"," 0.0117","0.0378","0.01144","FALSE","4.3","0.0495"
"P1-23-01-arc","P1","23","1","2022-10-05","6.77"," 7.84","6.76","135.20","16.08","3.9","0.4"," 0.0118","0.0231","0.01010","FALSE","4.3","0.0349"
"P1-23-02-arc","P1","23","2","2022-10-05","6.77"," 7.84","6.76","135.20","16.08","3.9","0.4"," 0.0118","0.0231","0.01010","FALSE","4.3","0.0349"
"P1-24-01-arc","P1","24","1","2022-10-19","6.83","10.17","7.58","102.00","11.46","3.4","0.6"," 0.0103","0.0289","0.01610","FALSE","4.0","0.0392"
"P1-24-02-arc","P1","24","2","2022-10-19","6.83","10.17","7.58","102.00","11.46","3.4","0.6"," 0.0103","0.0289","0.01610","FALSE","4.0","0.0392"
"P2-01-01-arc","P2"," 1","1","2021-11-08","7.10","12.13","6.92","116.30","12.50","3.7","0.1"," 0.0050","0.0369","0.01550","FALSE","3.8","0.0419"
"P2-01-02-arc","P2"," 1","2","2021-11-08","7.10","12.13","6.92","116.30","12.50","3.7","0.1"," 0.0050","0.0369","0.01550","FALSE","3.8","0.0419"
"P2-02-01-arc","P2"," 2","1","2021-11-22","7.60"," 6.85","5.98","103.40","12.60","3.3","0.1"," 0.0016","0.0407","0.01960","FALSE","3.4","0.0423"
"P2-02-02-arc","P2"," 2","2","2021-11-22","7.60"," 6.85","5.98","103.40","12.60","3.3","0.1"," 0.0016","0.0407","0.01960","FALSE","3.4","0.0423"
"P2-03-01-arc","P2"," 3","1","2021-12-06","7.90"," 5.42","6.15"," 56.50"," 7.15","3.5","0.0"," 0.0020","0.0441","0.00000","FALSE","3.5","0.0460"
"P2-03-02-arc","P2"," 3","2","2021-12-06","7.90"," 5.42","6.15"," 56.50"," 7.15","3.5","0.0"," 0.0020","0.0441","0.00000","FALSE","3.5","0.0460"
"P2-05-01-arc","P2"," 5","1","2022-01-05","7.12"," 5.90","6.05","105.20",NA,"3.3","0.3"," 0.0014","0.0451","0.00170","FALSE","3.6","0.0465"
"P2-05-02-arc","P2"," 5","2","2022-01-05","7.12"," 5.90","6.05","105.20",NA,"3.3","0.3"," 0.0014","0.0451","0.00170","FALSE","3.6","0.0465"
"P2-06-01-arc","P2"," 6","1","2022-01-20","7.14"," 2.60","6.18"," 80.20","10.91","3.6","0.6","-0.0003","0.0472","0.00520","FALSE","4.2","0.0468"
"P2-06-02-arc","P2"," 6","2","2022-01-20","7.14"," 2.60","6.18"," 80.20","10.91","3.6","0.6","-0.0003","0.0472","0.00520","FALSE","4.2","0.0468"
"P2-07-01-arc","P2"," 7","1","2022-02-03","7.15"," 7.62","5.91"," 90.60","10.83","3.9","0.5"," 0.0009","0.0460","0.00120","FALSE","4.4","0.0469"
"P2-07-02-arc","P2"," 7","2","2022-02-03","7.15"," 7.62","5.91"," 90.60","10.83","3.9","0.5"," 0.0009","0.0460","0.00120","FALSE","4.4","0.0469"
"P2-08-01-arc","P2"," 8","1","2022-02-16","7.18"," 3.79","6.83"," 88.80","11.70","3.6","0.2"," 0.0030","0.0453","0.00440","FALSE","3.8","0.0484"
"P2-08-02-arc","P2"," 8","2","2022-02-16","7.18"," 3.79","6.83"," 88.80","11.70","3.6","0.2"," 0.0030","0.0453","0.00440","FALSE","3.8","0.0484"
"P2-09-01-arc","P2"," 9","1","2022-03-07","7.20"," 6.67","6.87"," 99.60","12.19","3.5","0.5"," 0.0036","0.0318","0.00040","FALSE","4.0","0.0354"
"P2-09-02-arc","P2"," 9","2","2022-03-07","7.20"," 6.67","6.87"," 99.60","12.19","3.5","0.5"," 0.0036","0.0318","0.00040","FALSE","4.0","0.0354"
"P2-10-01-arc","P2","10","1","2022-03-21","7.10","12.06","6.61","113.10","12.17","3.5","0.2"," 0.0042","0.0341","0.00250","FALSE","3.7","0.0383"
"P2-10-02-arc","P2","10","2","2022-03-21","7.10","12.06","6.61","113.10","12.17","3.5","0.2"," 0.0042","0.0341","0.00250","FALSE","3.7","0.0383"
"P2-11-01-arc","P2","11","1","2022-04-05","7.00"," 6.56","6.62","102.40","12.57","3.0","0.4"," 0.0040","0.0241","0.00440","FALSE","3.4","0.0281"
"P2-11-02-arc","P2","11","2","2022-04-05","7.00"," 6.56","6.62","102.40","12.57","3.0","0.4"," 0.0040","0.0241","0.00440","FALSE","3.4","0.0281"
"P2-12-01-arc","P2","12","1","2022-04-20","6.69"," 7.11","6.73","108.20","13.10","2.8","0.7"," 0.0111","0.0269","0.01050","FALSE","3.5","0.0380"
"P2-12-02-arc","P2","12","2","2022-04-20","6.69"," 7.11","6.73","108.20","13.10","2.8","0.7"," 0.0111","0.0269","0.01050","FALSE","3.5","0.0380"
"P2-13-01-arc","P2","13","1","2022-05-05","6.41"," 7.47","6.66","108.20","12.98","2.7","1.8"," 0.0122","0.0245","0.01060","FALSE","4.5","0.0367"
"P2-13-02-arc","P2","13","2","2022-05-05","6.41"," 7.47","6.66","108.20","12.98","2.7","1.8"," 0.0122","0.0245","0.01060","FALSE","4.5","0.0367"
"P2-14-01-arc","P2","14","1","2022-05-30","6.39","25.38","8.48","  8.13","41.00","2.8","0.6"," 0.0106","0.0293","0.00330","FALSE","3.4","0.0399"
"P2-14-02-arc","P2","14","2","2022-05-30","6.39","25.38","8.48","  8.13","41.00","2.8","0.6"," 0.0106","0.0293","0.00330","FALSE","3.4","0.0399"
"P2-15-01-arc","P2","15","1","2022-06-14","6.43","11.00","6.38","105.60","11.65","1.6","0.8"," 0.0097","0.0235","0.00280","FALSE","2.4","0.0332"
"P2-15-02-arc","P2","15","2","2022-06-14","6.43","11.00","6.38","105.60","11.65","1.6","0.8"," 0.0097","0.0235","0.00280","FALSE","2.4","0.0332"
"P2-16-01-arc","P2","16","1","2022-06-28","6.52","11.06","5.96","167.40","18.45","1.8","0.7"," 0.0045","0.0614","0.02070","FALSE","2.5","0.0658"
"P2-16-02-arc","P2","16","2","2022-06-28","6.52","11.06","5.96","167.40","18.45","1.8","0.7"," 0.0045","0.0614","0.02070","FALSE","2.5","0.0658"
"P2-17-01-arc","P2","17","1","2022-07-15","6.56","17.14","5.79","369.90","35.65","3.6","0.5"," 0.0064","0.0252","0.02200","FALSE","4.1","0.0315"
"P2-17-02-arc","P2","17","2","2022-07-15","6.56","17.14","5.79","369.90","35.65","3.6","0.5"," 0.0064","0.0252","0.02200","FALSE","4.1","0.0315"
"P2-18-01-arc","P2","18","1","2022-07-28","6.70","16.83","5.49"," 81.70"," 7.92","3.3","0.5"," 0.0154","0.0232","0.02330","FALSE","3.8","0.0386"
"P2-18-02-arc","P2","18","2","2022-07-28","6.70","16.83","5.49"," 81.70"," 7.92","3.3","0.5"," 0.0154","0.0232","0.02330","FALSE","3.8","0.0386"
"P2-19-01-arc","P2","19","1","2022-08-08","6.63","12.13","5.43","213.90","22.98","3.5","0.4"," 0.0142","0.0233","0.00940","FALSE","3.9","0.0374"
"P2-19-02-arc","P2","19","2","2022-08-08","6.63","12.13","5.43","213.90","22.98","3.5","0.4"," 0.0142","0.0233","0.00940","FALSE","3.9","0.0374"
"P2-20-01-arc","P2","20","1","2022-08-23","6.67","17.03","5.75","150.80","14.56","3.7","0.5"," 0.0142","0.0282","0.07070","FALSE","4.2","0.0424"
"P2-20-02-arc","P2","20","2","2022-08-23","6.67","17.03","5.75","150.80","14.56","3.7","0.5"," 0.0142","0.0282","0.07070","FALSE","4.2","0.0424"
"P2-21-01-arc","P2","21","1","2022-09-07","6.75","13.39","5.28","111.90","11.69","3.7","0.4"," 0.0113","0.0311","0.00925","FALSE","4.1","0.0424"
"P2-21-02-arc","P2","21","2","2022-09-07","6.75","13.39","5.28","111.90","11.69","3.7","0.4"," 0.0113","0.0311","0.00925","FALSE","4.1","0.0424"
"P2-22-01-arc","P2","22","1","2022-09-22","6.78","13.03","6.62"," 93.80"," 9.88","3.8","0.4"," 0.0131","0.0317","0.01067","FALSE","4.2","0.0448"
"P2-22-02-arc","P2","22","2","2022-09-22","6.78","13.03","6.62"," 93.80"," 9.88","3.8","0.4"," 0.0131","0.0317","0.01067","FALSE","4.2","0.0448"
"P2-23-01-arc","P2","23","1","2022-10-05","6.84"," 7.03","6.62","134.10","16.27","3.7","0.5"," 0.0091","0.0181","0.01070","FALSE","4.2","0.0272"
"P2-23-02-arc","P2","23","2","2022-10-05","6.84"," 7.03","6.62","134.10","16.27","3.7","0.5"," 0.0091","0.0181","0.01070","FALSE","4.2","0.0272"
"P2-24-01-arc","P2","24","1","2022-10-19","6.89"," 9.35","7.13","101.20","11.60","3.7","0.4"," 0.0109","0.0237","0.00860","FALSE","4.1","0.0347"
"P2-24-02-arc","P2","24","2","2022-10-19","6.89"," 9.35","7.13","101.20","11.60","3.7","0.4"," 0.0109","0.0237","0.00860","FALSE","4.1","0.0347"
"P3-01-01-arc","P3"," 1","1","2021-11-08","7.70","10.26","7.23","106.40","11.94","3.5","0.2"," 0.0052","0.0327","0.01960","FALSE","3.7","0.0379"
"P3-01-02-arc","P3"," 1","2","2021-11-08","7.70","10.26","7.23","106.40","11.94","3.5","0.2"," 0.0052","0.0327","0.01960","FALSE","3.7","0.0379"
"P3-02-01-arc","P3"," 2","1","2021-11-22","7.12"," 6.69","5.59","109.40","13.38","3.2","0.1"," 0.0018","0.0369","0.02090","FALSE","3.3","0.0387"
"P3-02-02-arc","P3"," 2","2","2021-11-22","7.12"," 6.69","5.59","109.40","13.38","3.2","0.1"," 0.0018","0.0369","0.02090","FALSE","3.3","0.0387"
"P3-03-01-arc","P3"," 3","1","2021-12-06","7.14"," 5.71","6.03"," 75.30"," 9.45","3.4","0.2"," 0.0008","0.0419","0.00520","FALSE","3.6","0.0427"
"P3-03-02-arc","P3"," 3","2","2021-12-06","7.14"," 5.71","6.03"," 75.30"," 9.45","3.4","0.2"," 0.0008","0.0419","0.00520","FALSE","3.6","0.0427"
"P3-05-01-arc","P3"," 5","1","2022-01-05","7.20"," 5.90","5.88","105.00",NA,"3.3","0.3"," 0.0015","0.0398","0.00090","FALSE","3.6","0.0413"
"P3-05-02-arc","P3"," 5","2","2022-01-05","7.20"," 5.90","5.88","105.00",NA,"3.3","0.3"," 0.0015","0.0398","0.00090","FALSE","3.6","0.0413"
"P3-06-01-arc","P3"," 6","1","2022-01-20","7.24"," 3.52","6.10"," 79.20","10.51","3.7","0.3"," 0.0005","0.0387","0.00250","FALSE","4.0","0.0392"
"P3-06-02-arc","P3"," 6","2","2022-01-20","7.24"," 3.52","6.10"," 79.20","10.51","3.7","0.3"," 0.0005","0.0387","0.00250","FALSE","4.0","0.0392"
"P3-07-01-arc","P3"," 7","1","2022-02-03","7.23"," 7.24","5.71"," 85.50","10.32","3.5","0.4"," 0.0017","0.0418","0.00360","FALSE","3.9","0.0435"
"P3-07-02-arc","P3"," 7","2","2022-02-03","7.23"," 7.24","5.71"," 85.50","10.32","3.5","0.4"," 0.0017","0.0418","0.00360","FALSE","3.9","0.0435"
"P3-08-01-arc","P3"," 8","1","2022-02-16","7.26"," 5.03","6.66"," 93.60","11.95","3.4","0.5"," 0.0030","0.0331","0.00300","FALSE","3.9","0.0361"
"P3-08-02-arc","P3"," 8","2","2022-02-16","7.26"," 5.03","6.66"," 93.60","11.95","3.4","0.5"," 0.0030","0.0331","0.00300","FALSE","3.9","0.0361"
"P3-09-01-arc","P3"," 9","1","2022-03-07","7.25"," 6.38","6.78"," 96.40","11.88","3.5","0.3"," 0.0036","0.0388","0.00220","FALSE","3.8","0.0424"
"P3-09-02-arc","P3"," 9","2","2022-03-07","7.25"," 6.38","6.78"," 96.40","11.88","3.5","0.3"," 0.0036","0.0388","0.00220","FALSE","3.8","0.0424"
"P3-10-01-arc","P3","10","1","2022-03-21","7.18","11.61","6.38","109.70","11.93","3.4","0.3"," 0.0045","0.0365","0.00250","FALSE","3.7","0.0410"
"P3-10-02-arc","P3","10","2","2022-03-21","7.18","11.61","6.38","109.70","11.93","3.4","0.3"," 0.0045","0.0365","0.00250","FALSE","3.7","0.0410"
"P3-11-01-arc","P3","11","1","2022-04-05","7.08"," 6.71","6.47","102.20","12.50","3.6","0.4"," 0.0042","0.0331","0.00190","FALSE","4.0","0.0373"
"P3-11-02-arc","P3","11","2","2022-04-05","7.08"," 6.71","6.47","102.20","12.50","3.6","0.4"," 0.0042","0.0331","0.00190","FALSE","4.0","0.0373"
"P3-12-01-arc","P3","12","1","2022-04-20","6.79"," 6.55","6.65","102.60","12.59","3.0","0.6"," 0.0115","0.0227","0.00850","FALSE","3.6","0.0342"
"P3-12-02-arc","P3","12","2","2022-04-20","6.79"," 6.55","6.65","102.60","12.59","3.0","0.6"," 0.0115","0.0227","0.00850","FALSE","3.6","0.0342"
"P3-13-01-arc","P3","13","1","2022-05-05","6.51"," 7.05","6.47","111.00","13.45","2.8","0.7"," 0.0119","0.0289","0.00830","FALSE","3.5","0.0408"
"P3-13-02-arc","P3","13","2","2022-05-05","6.51"," 7.05","6.47","111.00","13.45","2.8","0.7"," 0.0119","0.0289","0.00830","FALSE","3.5","0.0408"
"P3-14-01-arc","P3","14","1","2022-05-30","6.42","25.38","8.48","  8.13","41.00","3.1","0.6"," 0.0109","0.0319","0.00750","FALSE","3.7","0.0428"
"P3-14-02-arc","P3","14","2","2022-05-30","6.42","25.38","8.48","  8.13","41.00","3.1","0.6"," 0.0109","0.0319","0.00750","FALSE","3.7","0.0428"
"P3-15-01-arc","P3","15","1","2022-06-14","6.49","10.38","6.30","105.80","11.84","1.2","0.6"," 0.0107","0.0287","0.00130","FALSE","1.8","0.0394"
"P3-15-02-arc","P3","15","2","2022-06-14","6.49","10.38","6.30","105.80","11.84","1.2","0.6"," 0.0107","0.0287","0.00130","FALSE","1.8","0.0394"
"P3-16-01-arc","P3","16","1","2022-06-28","6.57","10.39","5.87","141.90","15.86","2.1","0.7"," 0.0046","0.0344","0.02170","FALSE","2.8","0.0390"
"P3-16-02-arc","P3","16","2","2022-06-28","6.57","10.39","5.87","141.90","15.86","2.1","0.7"," 0.0046","0.0344","0.02170","FALSE","2.8","0.0390"
"P3-17-01-arc","P3","17","1","2022-07-15","6.70","13.19","5.48","322.10","33.80","3.5","0.5"," 0.0042","0.0327","0.02220","FALSE","4.0","0.0369"
"P3-17-02-arc","P3","17","2","2022-07-15","6.70","13.19","5.48","322.10","33.80","3.5","0.5"," 0.0042","0.0327","0.02220","FALSE","4.0","0.0369"
"P3-18-01-arc","P3","18","1","2022-07-28","6.56","18.31","5.63"," 80.20"," 7.54","3.6","0.5"," 0.0141","0.0293","0.02396","FALSE","4.1","0.0435"
"P3-18-02-arc","P3","18","2","2022-07-28","6.56","18.31","5.63"," 80.20"," 7.54","3.6","0.5"," 0.0141","0.0293","0.02396","FALSE","4.1","0.0435"
"P3-19-01-arc","P3","19","1","2022-08-08","6.69"," 9.94","5.41","145.90","16.50","3.6","0.4"," 0.0154","0.0338","0.00920","FALSE","4.0","0.0492"
"P3-19-02-arc","P3","19","2","2022-08-08","6.69"," 9.94","5.41","145.90","16.50","3.6","0.4"," 0.0154","0.0338","0.00920","FALSE","4.0","0.0492"
"P3-20-01-arc","P3","20","1","2022-08-23","6.74","13.05","5.42"," 76.80"," 8.08","3.9","0.3"," 0.0127","0.0366","0.00960","FALSE","4.2","0.0493"
"P3-20-02-arc","P3","20","2","2022-08-23","6.74","13.05","5.42"," 76.80"," 8.08","3.9","0.3"," 0.0127","0.0366","0.00960","FALSE","4.2","0.0493"
"P3-21-01-arc","P3","21","1","2022-09-07","6.79","11.68","5.11","111.00","12.05","4.0","0.4"," 0.0112","0.0384","0.00792","FALSE","4.4","0.0496"
"P3-21-02-arc","P3","21","2","2022-09-07","6.79","11.68","5.11","111.00","12.05","4.0","0.4"," 0.0112","0.0384","0.00792","FALSE","4.4","0.0496"
"P3-22-01-arc","P3","22","1","2022-09-22","6.84","10.00","6.47"," 97.80","11.04","3.9","0.4"," 0.0123","0.0382","0.01103","FALSE","4.3","0.0505"
"P3-22-02-arc","P3","22","2","2022-09-22","6.84","10.00","6.47"," 97.80","11.04","3.9","0.4"," 0.0123","0.0382","0.01103","FALSE","4.3","0.0505"
"P3-23-01-arc","P3","23","1","2022-10-05","6.89"," 6.95","6.65","169.50","20.60","4.0","0.5"," 0.0108","0.0232","0.01090","FALSE","4.5","0.0340"
"P3-23-02-arc","P3","23","2","2022-10-05","6.89"," 6.95","6.65","169.50","20.60","4.0","0.5"," 0.0108","0.0232","0.01090","FALSE","4.5","0.0340"
"P3-24-01-arc","P3","24","1","2022-10-19","6.93"," 8.50","6.71","106.90","12.51","3.5","0.5"," 0.0109","0.0252","0.00890","FALSE","4.0","0.0360"
"P3-24-02-arc","P3","24","2","2022-10-19","6.93"," 8.50","6.71","106.90","12.51","3.5","0.5"," 0.0109","0.0252","0.00890","FALSE","4.0","0.0360"
